display_name,arm,ihp,nctp,metric,equal11_value,fileweighted_value,effective_n,n_subgroups
REL,IHP0_NCTP0,0,0,f1_max,0.6412569451888068,0.663640136434472,488,11
REL,IHP0_NCTP0,0,0,auprc,0.3001909054946213,0.2197918896881683,488,11
REL,IHP0_NCTP0,0,0,vus_pr,0.6945237619468648,0.7371412637379013,488,11
IHP,IHP1_NCTP0,1,0,f1_max,0.6680597225705162,0.6715098251649675,488,11
IHP,IHP1_NCTP0,1,0,auprc,0.3222744363957023,0.2558369186286833,488,11
IHP,IHP1_NCTP0,1,0,vus_pr,0.7046802411929823,0.7513170141084401,488,11
NCTP,IHP0_NCTP1,0,1,f1_max,0.6823854660839598,0.6796253519608424,488,11
NCTP,IHP0_NCTP1,0,1,auprc,0.3387930063098307,0.2110417537961553,488,11
NCTP,IHP0_NCTP1,0,1,vus_pr,0.7143559490264615,0.7496878973298549,488,11
FULL,IHP1_NCTP1,1,1,f1_max,0.6881923989504309,0.688329294934311,488,11
FULL,IHP1_NCTP1,1,1,auprc,0.345025674128382,0.225995083382932,488,11
FULL,IHP1_NCTP1,1,1,vus_pr,0.7212461282004591,0.7636901586836733,488,11
